Data Nascimento,Sexo,Raça,Estrangeiro,Nacionalidade,Naturalidade,UF Naturalidade,Período,Situação atual,Data ocorrência,Estrutura,Período ingresso,Tipo ingresso,IMI,Coeficiente,Tipo de demanda,rga_anonimo
2005-03-21,Masculino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,ANAPU,PA,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20231,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),45.7,4.3,L6 - Estudante preto pardo ou indígena de escola pública,6d3b7bf61b3e5f35de7f47db385dbba2e2254519a72d9dde12089618e53b2c5d
2005-03-02,Masculino,Branca,Não,BRASILEIRO,MORRINHOS,GO,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20231,INGRESSO POR PROCESSO SELETIVO ESPECÍFICO,15.2,1.45,Ampla Concorrência,40c87ccb5a8f08d9ec6496211edbe2a99b6062122cafeefbccf0a413c3ea6fda
1994-06-09,Masculino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,ARAGARCAS,GO,20232,AFASTAMENTO POR BLOQUEIO DE MATRICULA,2023-11-10,20191,20131,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),29.0,4.65,L3 - Estudante de escola pública,59264b65ec315695e0efcc2b9d82bad519b4cda54f3a1c25ede8ddc368309584
2003-07-30,Masculino,Branca,Não,BRASILEIRO,ARAGARCAS,GO,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20231,INGRESSO POR PROCESSO SELETIVO ESPECÍFICO,7.6,2.34,L5 - Estudante de escola pública,0dd7572aa6b2817ba16e3da3ca8c744f990a584361fc742a8204ace7c3ef04d3
2004-10-12,Feminino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,RIO DE JANEIRO,RJ,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20221,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),33.0,3.61,Ampla Concorrência,45b99d3064b86e4b182178ef740b03f047d314803172ef7f67f38b4a226eca9e
2001-11-24,Feminino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,SALVADOR,BA,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20201,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),82.7,6.11,"L2 - Renda igual ou inferior 1,5 salário mínimo e estudante preto pardo ou indígena de esc. pública",fe49dba3ab64bc7f1d9721189458599a03b315a4f11675955f3e09c03c9ff91b
2004-06-20,Feminino,Branca,Não,BRASILEIRO,BARRA DO GARCAS,MT,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20231,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),83.8,6.52,Ampla Concorrência,714747449e901d65befe9c525a9d3061f0350bbebdc25714f1fd374104cc87b5
2000-07-10,Feminino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,CUIABA,MT,20232,AFASTAMENTO POR BLOQUEIO DE MATRICULA,2024-01-09,20191,20211,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),17.1,3.23,L6 - Estudante preto pardo ou indígena de escola pública,5ed12fc65597ff521689b4a84e6c967e5e36d4dc9e9899a62f5842c96a3df65f
1996-11-08,Masculino,Branca,Não,BRASILEIRO,GOIANIA,GO,20232,AFASTAMENTO POR TRANCAMENTO DE MATRICULA,2023-11-21,20191,20181,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),63.0,6.71,Ampla Concorrência,4599bbaa477a779a118bdd2f0641275ef554feb52730c2953836de4d944f2b0c
1999-12-22,Masculino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,RONDONOPOLIS,MT,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20171,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),52.8,6.08,L6 - Estudante preto pardo ou indígena de escola pública,a7ba2fc005479b2b1d24c1cee9037012cddb8fb7b788ffc8ede8bf9a9e5f21fb
2001-11-01,Masculino,Branca,Não,BRASILEIRO,ARAGARCAS,GO,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20191,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),55.9,4.82,Ampla Concorrência,8e5078a9c6f4881e549bd427f4152a5225b162804fb96042cfdfca8f9d40b36e
2000-05-04,Masculino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,NOVO SAO JOAQUIM,MT,20232,AFASTAMENTO POR BLOQUEIO DE MATRICULA,2024-01-09,20191,20191,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),15.2,4.57,L6 - Estudante preto pardo ou indígena de escola pública,a81833c165a247300fd4fe4a4d3d8a6197a74a5afa21efe4c28b8ecd80c5ac0d
2000-07-25,Masculino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,JATAI,GO,20232,AFASTAMENTO POR BLOQUEIO DE MATRICULA,2024-01-09,20191,20181,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),3.0,2.43,"L2 - Renda igual ou inferior 1,5 salário mínimo e estudante preto pardo ou indígena de esc. pública",2970756896306c0c09bb7a1ab5b980f2d1aa7471e11f420c8228649d3cdce1a5
2002-01-24,Feminino,Branca,Não,BRASILEIRO,BOA VISTA,RR,20232,AFASTAMENTO POR BLOQUEIO DE MATRICULA,2024-01-09,20191,20231,INGRESSO POR PROCESSO SELETIVO ESPECÍFICO,0.0,0.0,L5 - Estudante de escola pública,15abba8d6ff8507477749399218d7e85e8a9e8de1364bd5d1a4f74ae4cdfcebb
1992-10-11,Masculino,Branca,Não,BRASILEIRO,NOVO SAO JOAQUIM,MT,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20201,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),111.0,5.97,Ampla Concorrência,f00796b45b5def5e8f169234314d9e0d0e351d3881ce5703947f2572b0ad35e7
